ŞİRKETLER ,TY/TÖ,NFB/TÖ,TKVY/TÖ,T.DÖN.V/ TKVY,T.DÖN.V-Stok/ TKVY,NAKİT/ TKVY,DK(Z)/ TÖ,İTTA/TA,İTTB/TB,MDV/TÖ,SFVÖK-EFK/MDV,SFVÖK-EFK/TV,DK(Z)/MDV,EFK/H,EFDG/H,SFVÖK/EFK,EFK/TV,DK(Z)/TK,NetDönKarı*/MDV*,SFDK(Z)/TÖ,FAVÖK/T.DuranV,Class
2022 NUH ÇİMENTO SANAYİ A.Ş.,0.93,0.68,0.66,1.65,1.16,0.37,0.23,0,0,0.37,0.07,0.01,0.62,0.23,-0.01,1.1,0.13,0.12,-0.16,0.23,0.34,0
2022 NETAŞ TELEKOMÜNİKASYON A.Ş.,117.47,96.72,113.89,0.8,0.71,0.18,-0.63,0.01,0.33,3.79,0.19,0.01,-0.17,-0.03,-0.05,0.58,-0.01,-0.01,-8.81,-0.63,-0.03,0
2022 NET HOLDİNG A.Ş.,0.73,0.65,0.23,0.55,0.5,0.34,-0.02,0,0,1.09,-0.05,-0.03,-0.02,0.29,-0.15,-0.55,0.02,-0.01,-17.95,-0.02,0.02,0
2022 MOBİLTEL İLETİŞİM HİZMETLERİ SANAYİ VE TİCARET A.Ş.,0.73,0.71,0.54,1.05,0.83,0.04,0.08,0.01,0,0.02,-0.81,-0.01,3.82,0.09,-0.02,0.78,0.05,0.05,-2.94,0.08,0.07,0
2022 MEPET METRO PETROL VE TESİSLERİ SANAYİ TİCARET A.Ş.,0.62,0.61,0.48,0.36,0.28,0.02,0.05,0.77,0.03,1.39,0,0,0.03,0.04,-0.01,1.05,0.03,0.03,-2.75,0.05,0.04,0
2022 MEGA POLİETİLEN KÖPÜK SANAYİ VE TİCARET A.Ş.,2.41,2.35,2.21,1.27,0.97,0.03,0.14,0,0,0.59,-0.09,-0.02,0.24,0.12,-0.13,0.72,0.06,0.04,5.38,0.14,0.33,0
2022 MAVİ GİYİM SANAYİ VE TİCARET A.Ş.,1.93,0.98,1.68,1.27,0.9,0.57,0.35,0,0.17,0.16,-0.4,-0.02,2.23,0.22,0,0.86,0.15,0.12,3.33,0.35,0.58,0
2022 MATRİKS BİLGİ DAĞITIM HİZMETLERİ A.Ş.,0.62,0.37,0.49,1.22,1.22,0.5,0.45,0,0,0.07,0.23,0.01,6.32,0.25,0,1.04,0.27,0.28,-3.56,0.45,0.43,0
2022 MARKA YATIRIM HOLDİNG A.Ş.,3.84,3.79,3.7,0.91,0.85,0.01,0.15,0.06,0.03,0.39,-0.16,-0.01,0.39,0.73,-0.04,0.8,0.06,0.03,-46.63,0.15,0.18,0
2022 LÜKS KADİFE TİCARET VE SANAYİİ A.Ş.,1.2,0.86,0.53,1.9,1.38,0.66,0.07,0.14,0.01,0.63,-0.29,-0.08,0.11,0.4,-0.09,0.27,0.11,0.03,-23.34,0.07,0.21,0
2022 KÜTAHYA PORSELEN SANAYİ A.Ş.,0.99,0.96,0.86,1.56,0.85,0.02,0.19,0.07,0.02,0.51,-0.03,-0.01,0.38,0.17,-0.11,0.93,0.11,0.1,6.45,0.19,0.35,0
2022 KORTEKS MENSUCAT SANAYİ VE TİCARET A.Ş.,1.59,1.58,1.32,1.36,1.21,0.01,0.14,0.25,0.13,0.67,0.1,0.03,0.2,0.11,-0.11,2.12,0.02,0.05,20.31,0.14,0.07,0
2022 KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,4.01,3.78,0.16,2.28,2.28,1.48,-0.08,0,0.36,0.01,-12.14,-0.04,-5.3,0.25,-1.18,-0.72,0.02,-0.02,20.45,-0.08,-0.02,0
2022 KOLEKSİYON MOBİLYA SANAYİ A.Ş.,0.83,0.78,0.49,0.82,0.45,0.11,0.02,0.01,0,0.74,-0.08,-0.03,0.03,0.23,-0.03,0.22,0.04,0.01,-331.52,0.02,0.05,0
2022 KLİMASAN KLİMA SANAYİ VE TİCARET A.Ş.,4.13,3.69,3.13,1.18,0.84,0.14,0.07,0.08,0,0.62,-0.32,-0.04,0.11,0.16,-0.15,0.38,0.06,0.01,9.49,0.07,0.19,0
2022 KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş.,2.93,2.84,2.86,1.16,0.88,0.03,0.43,0.04,0.74,0.59,-0.07,-0.01,0.72,0.16,-0.02,0.93,0.15,0.11,8.82,0.43,0.98,0
2022 İZMİR FIRÇA SANAYİ VE TİCARET A.Ş.,2.05,2.03,1.74,1.44,0.84,0.01,0.05,0.01,0,0.5,-0.39,-0.06,0.1,0.14,-0.08,0.25,0.09,0.02,-15.15,0.05,0.49,0
2022 İZ YATIRIM HOLDİNG A.Ş.,0.4,0.28,0.29,1.28,0.77,0.39,-0.03,0,0,0.93,-0.01,-0.01,-0.03,-0.06,-0.08,1.68,-0.01,-0.02,-0.33,-0.03,-0.02,0
2022 İHLAS YAYIN HOLDİNG A.Ş.,0.2,0.04,0.09,7.4,6.26,1.78,0.01,0.13,0.17,0.12,0.22,0.02,0.07,-0.08,-0.05,-0.59,-0.01,0.01,-5.16,0.01,-0.03,0
2022 İHLAS HOLDİNG A.Ş.,0.67,0.46,0.31,3.98,2.69,0.66,0.04,0,0.01,0.18,0.05,0.01,0.22,0.09,-0.05,1.26,0.02,0.02,-12.64,0.04,0.09,0
2022 İHLAS GAYRİMENKUL PROJE GELİŞTİRME VE TİCARET A.Ş.,0.36,0.17,0.31,3.97,3.53,0.62,0.05,0.03,0.77,0,8.67,0.01,25.6,0.1,-0.08,1.51,0.03,0.04,-4.02,0.05,0.22,0
2022 İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET A.Ş.,0.3,0.28,0.2,4.03,2.7,0.09,0.07,0.31,0.1,0.03,-0.22,-0.01,2.27,0.11,-0.03,0.93,0.08,0.06,-0.73,0.07,0.19,0
2022 İDEAL FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.,0.62,0.44,0.54,1.77,1.77,0.34,0.26,0.06,0.1,0.14,1.44,0.12,1.89,0.19,-0.01,3,0.06,0.16,0.24,0.26,0.5,0
2022 HÜRRİYET GAZETECİLİK VE MATBAACILIK A.Ş.,0.8,0.78,0.61,0.62,0.55,0.03,-0.16,0.55,0.05,1,-0.02,-0.01,-0.16,-0.46,-0.11,1.13,-0.08,-0.09,510.96,-0.15,-0.09,0
2022 HİDROPAR HAREKET KONTROL TEKNOLOJİLERİ MERKEZİ SANAYİ VE TİCARET A.Ş.,1.84,1.63,1.64,1.18,0.61,0.13,0.06,0,0.1,0.62,-0.06,-0.01,0.1,0.14,-0.1,0.67,0.04,0.02,-38.03,0.06,0.13,0
2022 HEDEF ARAÇ KİRALAMA VE SERVİS A.Ş.,2.32,2.2,1.09,0.31,0.29,0.11,0.12,0.58,0,2.97,-0.07,-0.06,0.04,0.4,0,0.44,0.11,0.04,-11.44,0.12,0.12,0
2022 GÜR-SEL TURİZM TAŞIMACILIK VE SERVİS TİCARET A.Ş.,1.02,0.8,0.61,1.38,1.37,0.35,0.1,0.05,0,0.96,-0.01,0,0.1,0.12,-0.02,0.93,0.06,0.05,-2.43,0.1,0.13,0
2022 GÜLER YATIRIM HOLDİNG A.Ş.,1.1,0.92,0.96,1.38,1.36,0.18,0.18,0,0,0.57,-0.07,-0.02,0.32,4.42,-1.01,0.85,0.13,0.09,0,0.18,0.37,0
2022 GSD HOLDİNG A.Ş.,0.39,0.2,0.27,2.83,2.82,0.72,0.14,0,0,0.53,0.09,0.04,0.26,0.82,0,1.5,0.07,0.1,-0.78,0.14,0.24,0
