ŞİRKETLER ,TY/TÖ,NFB/TÖ,TKVY/TÖ,T.DÖN.V/ TKVY,T.DÖN.V-Stok/ TKVY,NAKİT/ TKVY,DK(Z)/ TÖ,İTTA/TA,İTTB/TB,MDV/TÖ,SFVÖK-EFK/MDV,SFVÖK-EFK/TV,DK(Z)/MDV,EFK/H,EFDG/H,SFVÖK/EFK,EFK/TV,DK(Z)/TK,NetDönKarı*/MDV*,SFDK(Z)/TÖ,FAVÖK/T.DuranV,Class
RODRİGO,0.997,0.9163,0.74,1.5686,0.1782,0.109,-0.1536,0,0,0.3597,-0.5757,-0.1037,-0.4271,0.1798,0.0344,-0.7625,0.0588,-0.0769,36.8595,-0.1536,0.1394,1
SAFKAR EGE,0.719,0.6252,0.4631,2.1154,1.2723,0.2024,0.1329,0,0.0313,0.6426,-0.0506,-0.0189,0.2068,0.209,0.0637,0.8233,0.1071,0.0773,-0.2982,0.1329,0.2521,1
SARKUYSAN,1.6799,1.4587,1.4967,1.3645,0.9756,0.1478,0.0533,0.0027,0,0.4324,-0.1297,-0.0209,0.1233,0.0408,0.022,0.5834,0.0502,0.0199,27.0698,0.0533,0.2119,1
SAY YENİLENEBİLİR,0.6044,0.4396,0.4253,3.2285,2.5376,0.3874,0.0899,0.3641,0.045,0.1997,-0.5496,-0.0684,0.4502,0.2216,0.0391,0.4945,0.1352,0.056,-2.2514,0.0899,1.1388,1
SDT UZAY,0.6341,0.3686,0.5864,2.3763,1.3658,0.4526,0.004,0.0041,0.0017,0.06,-11.0905,-0.4071,0.0675,1.2823,0.1139,-0.0525,0.3868,0.0025,-0.8707,0.004,0.4452,1
SEĞMEN KARDEŞLER,0.2536,0.244,0.1485,2.7206,1.606,0.065,0.0781,0.6107,0,0.8254,-0.0512,-0.0337,0.0947,0.2465,0.1097,0.6326,0.0918,0.0623,43.4368,0.0781,0.1356,1
SKYALP,0.1167,0.1071,0.1045,5.4151,5.4151,0.0924,0.0818,0.3695,0.2201,0.0564,0.6901,0.0349,1.4493,0.0191,0.0385,6.1647,0.0068,0.0732,-1.766,0.0818,0.2786,1
SMARTİKS,0.2702,0.2627,0.2627,1.2657,1.2079,0.0286,0.1381,0.0422,0,0.0685,-0.5147,-0.0278,2.0167,0.5047,0.1507,0.7967,0.1365,0.1088,-0.0222,0.1381,0.1882,1
SONMEZ PAMUKLU,0.1099,0.0872,0.0823,2.2169,1.4303,0.2764,-0.0349,0.0169,0.1363,0.4243,-0.1123,-0.0429,-0.0821,0.0287,0.0002,-0.4945,0.0287,-0.0314,334.3017,-0.0349,0.0373,1
SUN TEKSTİL,0.669,0.5934,0.5484,1.5317,0.9733,0.138,0.0365,0.2546,0,0.5835,-0.0716,-0.025,0.0626,0.0774,0.0359,0.5864,0.0605,0.0219,-6.288,0.0365,0.1389,1
TAPDİ OKSİJEN,0.2988,0.2352,0.1245,1.1452,1.0198,0.5114,0.2244,0.0001,0.0123,0.687,0.3497,0.185,0.3266,0.2295,0.0299,6.36,0.0345,0.1728,-0.3719,0.2244,0.2327,1
TATLIPINAR ENERJİ,0.8986,0.8442,0.1753,0.8356,0.8173,0.3098,0.1104,0,0.0009,1.4704,-0.0146,-0.0113,0.0751,0.5924,0.0778,0.8055,0.058,0.0582,-0.7076,0.1104,0.0626,1
TEK ART,0.3317,0.3294,0.0994,0.2601,0.2475,0.0234,-0.0086,0,0,0.8197,0.0107,0.0067,-0.0105,-0.3191,0.0275,-0.7568,-0.0038,-0.0065,96.4409,-0.0086,-0.0039,1
TEMAPOL POLİMER,1.806,1.6644,1.161,1.3221,1.0285,0.1219,0.0398,0.0223,0,1.0329,-0.0088,-0.0032,0.0386,0.0165,0.0732,0.1202,0.0037,0.0142,-0.6197,0.0398,0.1001,1
TREND GAYRİMENKUL,0.0156,-0.118,0.0148,66.4365,13.0059,9.0158,-0.0025,0,0,0.0248,-0.1214,-0.003,-0.1011,0.0054,0.01,-4.9622,0.0005,-0.0025,-10.4951,-0.0025,0.0305,1
TUĞÇELİK ALÜMİNYUM,0.9221,0.9174,0.5926,0.8964,0.6385,0.0079,0.0832,0.0166,0.006,1.2696,0.0198,0.0131,0.0655,0.0246,0.0588,3.7895,0.0047,0.0433,37.533,0.0832,0.0075,1
TUKAŞ GIDA,0.2663,0.259,0.2089,2.032,1.0569,0.0348,0.026,0,0.0005,0.7987,-0.0523,-0.033,0.0325,0.1114,0.1006,-0.3244,0.0249,0.0205,-6.2077,0.026,0.0584,1
TURK İLAÇ,1.1087,1.0901,0.5756,2.1818,1.942,0.0324,0.04,0.8166,0.1018,0.7239,-0.1104,-0.0379,0.0553,0.146,0.0366,0.2212,0.0486,0.019,58.8698,0.04,0.1198,1
ULAŞLAR TURİZM,0.9851,0.9848,0.7751,0.043,0.043,0.0005,-0.0197,0,0,0.0021,10.2925,0.0111,-9.2958,0.0521,0.4414,28.3744,0.0004,-0.0099,1.3509,-0.0197,0.0064,1
UŞAK SERAMİK,1.0052,0.9986,0.9568,1.0413,0.658,0.007,-0.0589,0.6644,0.0134,0.9419,-0.0954,-0.0448,-0.0625,0.0639,0.4054,-1.9254,0.0153,-0.0294,102.6593,-0.0589,0.0291,1
VBT YAZILIM,0.3869,0.1302,0.3643,2.9412,2.489,0.7046,0.0685,0,0,0.169,-0.7843,-0.0955,0.4056,0.1199,0.0082,0.3309,0.1428,0.0494,139.9086,0.0685,0.667,1
VERA KONSEPT,0.0217,-0.0275,0.0059,57.7246,44.7921,8.3777,0.0196,0,0,0.0038,4.5659,0.0171,5.1122,0.6316,0.6881,9.3766,0.002,0.0192,-0.1475,0.0196,0.027,1
YAPRAK SÜT ,0.3962,0.2443,0.2672,1.5634,1.2486,0.5682,0.0618,0,0.0016,0.3539,-0.2536,-0.0643,0.1747,0.5852,0.0096,0.4817,0.124,0.0443,-15.9491,0.0618,0.152,1
YİĞİT AKÜ,0.4663,0.4287,0.4125,2.3218,1.6068,0.091,0.0335,0.0402,0.1121,0.4331,-0.0917,-0.0271,0.0773,0.0745,0.0369,0.368,0.0428,0.0228,-12.4761,0.0335,0.1236,1
YÜKSELEN ÇELİK,1.5789,1.5111,1.3571,1.4805,0.7945,0.0499,-0.2461,0,0,0.4293,-0.274,-0.0456,-0.5733,-0.1067,0.0496,1.9678,-0.0471,-0.0954,-1.7358,-0.2461,-0.169,1
ZEDUR ENERJİ,0.24,0.2388,0.0866,0.2323,0.2323,0.0141,0.0746,0,0,1.1899,0.0186,0.0179,0.0627,0.4408,0.3508,1.6214,0.0288,0.0602,-35.6964,0.0746,0.0284,1
2023-BİEN YAPI,0.7942,0.7833,0.7322,2.1505,1.7917,0.0149,0.0763,0.1197,0.1406,0.17,0.2055,0.0195,0.4487,0.1155,0,1.4818,0.0404,0.0425,-6.806,0.0763,0.4237,1
2023-BİOTREND,7.2576,6.6892,2.4905,1.077,0.929,0.2282,0.4004,0,0,4.5272,0.0218,0.012,0.0885,0.2181,0.0166,1.2805,0.0427,0.0485,-1.9875,0.4004,0.0757,1
2023-BİRLİK MENSUCAT,1.3448,0.1295,1.1103,1.7176,1.3528,1.0946,-0.076,0,0,0.0667,0.4216,0.012,-1.1402,-0.2602,0.1243,0.73,-0.0444,-0.0324,-0.0073,-0.076,-0.2378,1
2023-BÜLBÜLOĞLU,2.3762,2.1832,1.6041,1.5044,0.7591,0.1203,0.0757,0.0017,0,0.8603,0.0722,0.0645,0.088,0.019,0.1087,5.77,0.0135,0.0224,1.1235,0.0757,0.0145,1
2023-BURÇELİK BURSA,1.0163,0.942,0.7175,0.987,0.5968,0.1035,0.0371,0,0,1.2608,0.0033,0.002,0.0294,0.015,-0.0443,1.1361,0.015,0.0184,-15.8771,0.0371,0.0252,1
2023-BÜYÜK ŞEFLER,1.3483,0.6506,0.8444,1.5459,1.3926,0.8262,0.2541,0,0,0.483,-0.0441,-0.0091,0.5262,0.1537,0.0252,0.9335,0.1363,0.1082,-0.5489,0.2541,0.3436,1
2023-ÇALIK DENİM,1.9513,1.9253,1.3737,1.1438,0.6264,0.0189,0.2692,0.0696,0.0961,0.8628,-0.3328,-0.0973,0.3121,0.4865,0.4091,0.5049,0.1965,0.0912,-0.3046,0.2692,0.4228,1
2023-CONSUS ENERJİ,1.4393,1.3575,0.8478,0.4727,0.3455,0.0964,0.0608,0.1365,0,1.9594,-0.0149,-0.0119,0.031,0.195,0.1075,0.6329,0.0325,0.0249,15.1113,0.0608,0.0426,1
2023-COSMOS YATIRIM,1.8075,1.4856,1.7847,1.3719,0.9397,0.1803,0.1172,0.6326,0,0.245,0.2373,0.0207,0.4785,0.036,0.0796,1.6191,0.0335,0.0418,-0.6701,0.1172,0.2574,1
2023-CVK MADEN,0.1786,-0.1745,0.077,8.3232,7.6187,4.5832,0.1585,0,0.0033,0.4844,0.1095,0.045,0.3272,0.4767,0.0313,1.3972,0.1133,0.1345,-1.4477,0.1585,0.287,1
2023- A.V.O.D,0.63,0.59,0.57,1.8,1.28,0.07,0.03,0,0,0.21,-0.99,-0.13,0.13,0.15,0.07,-0.91,0.07,0.02,-1.51,0.03,0.19,0
2023-ADESE GAYRİMENKUL,0.1929,0.1165,0.0375,4.2771,3.027,2.0395,0.0228,0.2538,0.5364,0.0122,1.3417,0.0137,1.8616,0.3334,0.0231,3.2179,0.0062,0.0191,-1.0804,0.0227,0.014,0
2023-AHLATCI DOĞAL GAZ,0.5182,0.2126,0.3454,1.1822,1.1658,0.8847,0.0328,0.0091,0.0109,1.1,-0.0432,-0.0313,0.0298,0.132,0.0033,0.4563,0.0576,0.0216,1.2096,0.0328,0.0791,0
2023- AKÇA KİMYEVİ MAD.,1.6453,1.4438,1.5533,1.6244,1.1174,0.1297,0.216,0.2058,0.0335,0.0013,-279.7745,-0.133,171.8477,0.0902,0.2267,-0.5518,0.0857,0.0817,2.7537,0.216,1.8119,0
2023- AKFEN YENİLENEBİLİR,2.3697,2.2262,0.4698,0.5513,0.5513,0.3054,0.0813,0.0001,0.0064,2.9331,-0.0275,-0.0239,0.0277,0.4865,0.0056,0.4208,0.0413,0.0241,23.8766,0.0813,0.0472,0
2023- AKIN TEKSTİL,0.9017,0.8633,0.713,0.8413,0.5455,0.0539,-0.0641,0,0,0.6923,-0.0925,-0.0337,-0.0926,-0.025,-0.2678,5.6813,-0.0072,-0.0337,127.0314,-0.0641,-0.0038,0
2023- AKSA ENERJİ,0.7016,0.663,0.3988,1.4102,1.3299,0.0969,0.1041,0.1626,0.121,1.0891,0.0201,0.0129,0.0956,0.2056,0.0031,1.1909,0.0674,0.0612,-1.9961,0.1041,0.0929,0
2023-ALORKO HOLDİNG,0.5086,0.433,0.4301,1.1952,1.1143,0.1758,0.2425,0.009,0.0073,0.0761,2.1156,0.1067,3.1861,0.525,0.1363,3.0081,0.0532,0.1607,-0.8496,0.2425,0.258,0
2023- ALKİM ALKALİ KİMYA,0.618,0.2383,0.5647,2.2203,2.1921,0.6726,0.1733,0.0005,0,0.2712,0.0059,0.001,0.639,0.2049,0.0744,1.0074,0.1338,0.1071,-13.7515,0.1733,0.6219,0
2023- ANEL ELEKTRİK,3.8513,3.7929,2.993,0.7678,0.5898,0.0195,-0.0987,0.0231,0.0856,0.0254,-4.1785,-0.0219,-3.8818,0.0113,0.5957,-15.1582,0.0014,-0.0203,-41.9109,-0.0987,0.0026,0
2023- ARD GRUP,0.2459,0.2178,0.2367,3.0672,2.999,0.119,0.2123,0,0,0.0078,1.2093,0.0076,27.106,0.625,0.0733,1.0484,0.157,0.1704,-2.8076,0.2123,0.4197,0
2023-ARSAN TEKSTİL,0.3545,-0.0171,0.3076,1.9612,1.7348,1.2083,0.191,0,0.7915,0.1916,0.7346,0.1039,0.9968,0.5084,0.0547,3.6087,0.0398,0.141,17.4116,0.191,0.2491,0
2023-ASELSAN ELEKTRONİK,0.9726,0.944,0.7957,1.2132,0.734,0.0358,0.1206,0.4416,0.2881,0.1653,-0.4577,-0.0384,0.7293,0.5288,0.3582,0.6449,0.108,0.0611,-3.1801,0.1206,0.2118,0
2023- ASTOR ENERJİ,0.625,0.3119,0.5973,2.2052,1.8265,0.5241,0.2614,0.0229,0.0404,0.158,0.1984,0.0193,1.6551,0.372,0.0892,1.1109,0.1739,0.1609,-1.1511,0.2614,0.9894,0
2023- ATAKULE GYO,0.009,0.0003,0.0038,7.9407,7.9407,2.2534,0.0087,0.2017,0,0.003,0.7087,0.0021,2.9038,0.1892,0.0512,1.3228,0.0065,0.0086,8.0135,0.0087,0.0071,0
2023- ATLANTİS YATIRIM,1.0646,1.0588,1.0601,1.6055,1.0959,0.0055,0.1472,0,0,0.0053,-0.0476,-0.0001,27.7086,0.1446,0.075,0.9987,0.0951,0.0713,5.504,0.1472,0.5412,0
2023- AVRUPA YATIRIM,0.547,0.5067,0.3865,1.6651,1.3488,0.1042,0.0934,0.0003,0,0.1843,0.1351,0.0161,0.5069,0.2533,0.0042,1.2779,0.0579,0.0604,3.3737,0.0934,0.1437,0
2023-AYDEM YENILENEBILIR,1.6359,1.5022,0.158,1.9436,1.9386,0.8457,-0.1106,0.9664,0.0038,2.2512,-0.0918,-0.0079,-0.0492,0.4722,0.0189,-1.6314,0.0298,-0.042,-554.6046,-0.1106,0.0428,0
2023-AYEN ENERJI,0.9664,0.8159,0.3063,1.6375,1.6375,0.4912,0.0474,0.0264,0.0096,1.2903,0.0002,0.0001,0.0368,0.1487,0.1335,1.0038,0.0311,0.0241,-1.9364,0.0474,0.0649,0
2023-BAGFAS BANDIRMA,2.5806,1.9752,0.9754,1.596,0.9105,0.6206,-0.4742,0.009,0.0203,0.8595,-0.1804,-0.0433,-0.5516,-0.2174,0.2089,1.5554,-0.078,-0.1324,72.751,-0.4742,-0.1385,0
2023-BAK AMBALAJ,2.7155,2.2783,1.7927,1.4406,1.0954,0.2439,-0.0049,0,0.4535,1.0087,-0.3458,-0.0939,-0.0049,0.1854,0.1641,0.0327,0.0971,-0.0013,-532.5285,-0.0049,0.3232,0
2023-BATICIM BATI,7.1951,7.0912,3.2961,0.7907,0.5255,0.0315,-0.8037,0.002,0,5.4237,-0.2291,-0.1516,-0.1482,0.0979,0.085,-1.5532,0.0594,-0.0981,-6.7196,-0.8037,0.1171,0
2023-BAYDONER,1.6719,1.2246,1.0646,0.9767,0.7073,0.4202,0.2036,0.0037,0,0.8038,-0.0686,-0.0206,0.2532,0.1124,0.0375,0.7653,0.0879,0.0762,-66.6049,0.2036,0.1525,0
2023-BERA HOLDING,0.4694,0.3007,0.3401,2.1557,1.4735,0.4963,0.0404,0,0,0.4996,0.0149,0.0051,0.0809,0.0929,0.0355,1.1619,0.0313,0.0275,-11.3573,0.0404,0.0588,0
2023-BERKOSAN YALITIM,0.9967,0.8285,0.818,1.4515,1.0991,0.2056,0.2619,0,0,0.6135,-0.0412,-0.0127,0.427,0.2632,0.0579,0.925,0.1688,0.1312,40.8198,0.2619,0.4618,0
A.V.O.D,0.6969,0.6686,0.6634,1.3126,0.9049,0.0425,-0.09,0.0344,0,0.2784,-0.4742,-0.0778,-0.3233,0.0021,0.0424,-123.0727,0.0006,-0.053,297.2383,-0.09,0.0021,0
ADRA GAYRİMENKUL,0.0017,-0.1781,0.0016,476.6501,121.2817,115.383,0.0826,0,0,0.0037,18.1637,0.0671,22.3433,0.4834,0,5.3459,0.0154,0.0825,-1.2795,0.0826,0.4352,0
AKÇA KİMYEVİ,2.3974,2.2992,1.987,0.9783,0.6869,0.0494,0.1729,0.0118,0.3627,0.8489,-0.1701,-0.0425,0.2036,0.177,0.1019,0.6068,0.1081,0.0509,-0.01,0.1729,0.2467,0
AKDENİZ YATIRIM,0.1883,0.175,0.183,0.6869,0.4996,0.0727,0.0218,0.0096,0.2139,0.4371,0.1035,0.0381,0.05,0.0512,0.2847,12.7141,0.0033,0.0184,33.4561,0.0218,0.0036,0
AKSU ENERJİ,0.3889,0.3309,0.0782,1.1233,1.0855,0.7413,-0.0028,0,0,0.37,-0.0166,-0.0044,-0.0075,0.2233,0.0142,0.4997,0.0089,-0.002,66.664,-0.0028,0.019,0
ALFA SOLAR ,0.8797,0.5005,0.7181,1.7522,1.1226,0.528,0.0584,0,0.0001,0.5046,0.0602,0.0162,0.1157,0.0606,0.0649,1.5081,0.0318,0.0311,-9.1296,0.0584,0.2085,0
ALVES KABLO,0.9432,0.815,0.8512,1.6266,1.1251,0.1506,0.0109,0,0,0.4819,-0.4333,-0.1074,0.0226,0.1453,0.0113,0.0454,0.1125,0.0056,-12.6683,0.0109,0.3918,0
ARSAN TEKSTİL,0.0827,-0.1405,0.0219,12.3021,12.2743,10.1767,0.1182,0.0006,0,0.2211,0.6526,0.1333,0.5345,-3.1205,2.6771,-6.6059,-0.0175,0.1091,-19.4022,0.1182,0.1837,0
ARTEMİS HALI,0.5356,0.3193,0.412,2.748,1.6918,0.525,0.0418,0.2241,0.0186,0.2951,0.0265,0.0051,0.1416,0.2221,0.0225,1.1262,0.0403,0.0272,-442.3932,0.0418,0.1571,0
BAGFAS FİNANSAL ,0.9544,0.839,0.6085,0.8106,0.4406,0.1896,-0.1592,0.7239,0.0891,1.2459,-0.0348,-0.0222,-0.1278,-0.6122,0.8284,1.4047,-0.0548,-0.0815,22.1271,-0.1592,-0.0735,0
BAHADIR BDR,0.3729,0.3621,0.2629,2.1826,1.6075,0.0409,0.0577,0.0127,0.0018,0.7205,-0.0503,-0.0264,0.0801,0.22,0.0043,0.623,0.0701,0.042,5.3786,0.0577,0.1143,0
BAYRAK BDR,1.9934,1.9804,1.7917,0.7987,0.5155,0.0072,-0.3563,0,0.0214,1.4516,-0.0867,-0.042,-0.2455,-0.282,0.1195,1.6165,-0.0682,-0.119,-20.8671,-0.3563,-0.1307,0
BERA HOLDİNG,0.3423,0.235,0.1943,2.4151,1.6046,0.5523,0.0485,0,0,0.5262,0.0173,0.0068,0.0921,0.1167,0.0476,1.2255,0.0301,0.0361,-52.012,0.0485,0.0486,0
BİEN YAPI ÜRÜNLERİ,0.5096,0.4453,0.401,2.2667,1.4091,0.1605,-0.074,0.3673,0.2334,0.469,-0.2921,-0.0907,-0.1579,0.0988,0.0064,-2.5448,0.0256,-0.049,-80.9669,-0.074,0.072,0
BİRKO BİRLEŞİK,0.0777,0.0777,0.052,2.9758,2.9079,0.0008,0.0083,0.4334,0,0.749,0.0053,0.0037,0.0111,0.3958,0.0014,1.7509,0.0049,0.0077,-6.6262,0.0083,0.0057,0
BMS BİRLEŞİK,0.7345,0.6223,0.5233,1.2435,0.9406,0.2143,0.0125,0,0,0.9393,-0.0185,-0.01,0.0134,0.0197,0.0072,-0.0723,0.0093,0.0072,-1.5055,0.0125,0.0144,0
BOĞAZİÇİ BETON,0.4181,0.3007,0.3445,1.3789,1.3069,0.3407,0.0094,0,0.021,0.8776,-0.0463,-0.0287,0.0107,0.0825,0.078,0.3814,0.0463,0.0066,409.3442,0.0094,0.0802,0
BURSA ÇİMENTO,0.2693,0.1411,0.1628,3.1806,2.4408,0.7879,0.0066,0.0008,0.0003,0.6671,-0.0475,-0.025,0.01,0.1526,0.0461,0.5225,0.0523,0.0052,-6.3297,0.0066,0.1087,0
ÇEMTAŞ ÇELİK,0.233,-0.0515,0.1134,7.4169,5.2605,2.5097,0.0057,0,0.0132,0.3341,-0.2119,-0.0574,0.0172,0.1471,0.0227,0.2321,0.0748,0.0047,-273.7366,0.0057,0.2992,0
CVK MADEN,0.2995,0.2128,0.1468,1.5017,1.2215,0.5907,0.0321,0,0,0.8834,-0.0289,-0.0196,0.0364,0.2402,0.0686,0.6445,0.0553,0.0247,-5.5718,0.0321,0.0671,0
DATAGATE BİLGİSAYAR,4.78,4.7082,4.7485,1.1762,0.8956,0.0151,-0.0144,0.0002,0.0538,0.0107,-30.3023,-0.0559,-1.3484,0.041,0.0741,-0.0377,0.0539,-0.0025,-0.425,-0.0144,1.5993,0
DENGE YATIRIM HOLDİNG,0.3902,0.3757,0.259,1.08,0.9759,0.0563,0.0218,0,0.0005,0.075,-0.0309,-0.0017,0.2903,-0.2478,0.0492,1.0509,-0.0327,0.0157,7.9745,0.0218,-0.0785,0
DESA DERİ,0.7785,0.7661,0.6732,1.734,1.3921,0.0185,0.0759,0.7584,0.4857,0.2342,0.0183,0.0024,0.3242,0.1863,0.1254,1.0408,0.0591,0.0427,124.4656,0.0759,0.1905,0
DOFER YAPI MALZEMELERİ,0.4125,0.1812,0.2986,2.4513,1.8385,0.7745,-0.0339,0,0,0.6686,-0.1066,-0.0505,-0.0507,0.0228,0.0172,-0.9196,0.0263,-0.024,1594.6458,-0.0339,0.0546,0
E-DATA,0.2516,0.1786,0.2404,4.189,2.8223,0.3033,0.0328,0.1391,0,0.0268,-3.6983,-0.0791,1.2268,0.2027,0.0883,0.2786,0.1096,0.0262,-15.0243,0.0328,0.6894,0
2023-HEKTAŞ TİCARET,3.8306,3.1414,3.4448,0.9634,0.7078,0.2001,-0.0572,0,0.1502,0.7567,-0.248,-0.0388,-0.0756,0.1363,0.088,-0.5546,0.025,-0.0119,-7.331,-0.0572,0.081,0
2023-HİDROPAR,1.8324,1.4831,1.6887,1.211,0.5943,0.2069,0.0059,0.1029,0.0723,0.4384,-0.0088,-0.0014,0.0134,0.0011,0.2452,-5.9132,0.0002,0.0021,-4.9435,0.0059,0.0023,0
2023-HÜRRİYET GAZETE,0.4921,0.4899,0.2927,1.9986,1.9046,0.0077,-0.15,0.4283,0.2077,0.4657,-0.1607,-0.0501,-0.3221,-0.7084,0.2857,1.6609,-0.0759,-0.1005,-36.7416,-0.1361,-0.1988,0
2023-ICU GİRİŞİM,1.9066,0.1707,1.8855,0.9424,0.9424,0.9207,-0.1247,0,0,0,-16406.1198,-0.2187,-3219.4693,0,0,-0.2441,0.1758,-0.0429,-0.5939,-0.1247,-0.619,0
2023-İHLAS EV ALETLERİ,0.3209,0.2826,0.2114,4.1748,3.0813,0.1809,0.0737,0.2084,0.1757,0.0283,-0.2768,-0.0059,2.6,0.1125,0.0299,0.9234,0.0775,0.0558,18.5832,0.0737,0.2256,0
2023-İHLAS GAYRİMENKUL,0.2029,0.1602,0.1306,7.2179,5.9396,0.3274,-0.0233,0.0327,0.2312,0.0025,-5.9455,-0.0125,-9.215,0.017,0.1382,-5.2305,0.002,-0.0194,-9.534,-0.0233,-0.1494,0
2023-İHLAS HOLDİNG,0.935,0.8687,0.297,4.292,2.1062,0.2232,0.0198,0.0046,0.0074,0.2853,0.03,0.0044,0.0693,0.0522,0.0404,1.4377,0.0101,0.0102,-70.4398,0.0198,0.0353,0
2023-İHLAS YAYIN HOLDİİNG,0.2591,0.156,0.1303,4.2405,3.4754,0.7913,0.0167,0.0878,0.1375,0.1815,0.1194,0.0172,0.0922,0.0075,0.0244,8.8017,0.0022,0.0133,-17.3676,0.0167,0.0168,0
2023-İNDEKS BİLGİSAYAR,5.23,4.1636,5.2193,1.1751,0.9135,0.2043,0.2042,0,0.0001,0.0212,-3.641,-0.0124,9.6116,0.0375,0.0565,0.7906,0.0593,0.0328,-1.609,0.2042,4.3694,0
2023-INGRAM,4.9856,4.4106,4.4688,1.3048,1.0841,0.1287,0.0369,0.0001,0.0124,0.0404,-2.6579,-0.018,0.9121,0.0359,0.0242,0.4257,0.0313,0.0062,-1.8584,0.0369,1.2101,0
2023-IŞIK PLASTİK,0.5289,0.4914,0.4879,1.5059,1.071,0.077,0.1037,0.0114,0.0395,0.7414,-0.0622,-0.0301,0.1398,0.2156,0.0804,0.7331,0.1129,0.0678,-4.1834,0.1037,0.2217,0
2023-IŞIKLAR ENERJİ,0.4851,0.3645,0.3857,1.5558,0.8875,0.3125,0.0135,0.0188,0.0003,0.4598,-0.0267,-0.0083,0.0295,0.0808,0.1346,0.7012,0.0276,0.0091,-5.8155,0.0135,0.0465,0
2023-İZDEMİR ENERJİ,0.4924,0.475,0.48,0.9578,0.2131,0.0362,0.0546,0.035,0.3865,0.7274,-0.1098,-0.0535,0.0751,0.0908,0.0067,0.2918,0.0755,0.0366,93.3912,0.0546,0.1092,0
2023-İZMİR DEMİR,9.0813,8.7931,7.4297,0.6635,0.2291,0.0388,-0.7682,0.0017,0.0818,3.7618,-0.4479,-0.1671,-0.2042,0.1018,0.0068,-0.8722,0.0909,-0.0762,-0.2801,-0.7682,0.21,0
2023-İZMİR FIRÇA,1.1935,1.1571,1.0295,1.6706,1.167,0.0354,0.0567,0,0.0372,0.399,-0.0517,-0.0094,0.142,0.0691,0.0244,0.7772,0.0422,0.0258,-0.7752,0.0567,0.2187,0
2023-KAFEİN YAZILIM,0.4377,0.3885,0.3802,2.6708,2.5413,0.1296,0.1128,0.0003,0,0.0472,-0.3768,-0.0124,2.3889,0.1059,0.0686,0.8484,0.0817,0.0785,-1.6516,0.1128,0.1324,0
2023-KALESERAMİK,2.8668,2.6049,2.3932,1.0863,0.7051,0.1095,0.2735,0.0027,0.1037,0.6406,0.0277,0.0046,0.427,0.1054,0.097,1.0984,0.0466,0.0707,-1.2933,0.2735,0.1655,0
2023-KARTONSAN,0.3463,0.0771,0.2973,2.8411,1.5575,0.9056,-0.0025,0.0588,0.0015,0.3605,0.1389,0.0372,-0.007,-0.1602,0.1752,0.4527,-0.0679,-0.0019,-23.371,-0.0025,-0.0645,0
2023-KAYSERİ ŞEKER,0.544,0.4449,0.4586,1.4977,0.6804,0.2161,0.0837,0,0.0001,0.4558,0.0924,0.0273,0.1836,0.1706,0.0139,1.7687,0.0355,0.0542,-16.6739,0.0837,0.1217,0
2023-KEREVİTAŞ,2.0513,2.0422,1.7174,1.206,0.8139,0.0053,0.0096,0.4846,0.0176,0.7905,-0.1279,-0.0331,0.0122,0.0682,0.0459,0.1822,0.0405,0.0032,-12.3661,0.0096,0.2126,0
2023-KERVAN GIDA,1.7632,1.5541,1.6013,1.0505,0.697,0.1306,0.0502,0.0027,0.0207,0.8069,-0.3735,-0.1091,0.0622,0.2604,0.0125,0.2297,0.1416,0.0182,-2.4443,0.0502,0.3728,0
2023-KİLER HOLDİNG,0.5541,0.5303,0.479,1.6781,0.9977,0.0495,0.1745,0.0916,0.0056,0.0405,4.3299,0.1128,4.3085,0.1713,0.1367,12.8054,0.0096,0.1123,-1.3871,0.1745,6.5089,0
2023-KOLEKSİYON MOBİLYA,0.8623,0.7555,0.5621,1.0535,0.7042,0.1899,0.1306,0.0011,0,0.7376,-0.0421,-0.0167,0.177,0.2996,0.0284,0.835,0.101,0.0701,0.5978,0.1306,0.1497,0
2023-KONFRUT,2.3073,2.2975,2.0391,1.3607,0.7983,0.0048,0.1721,0.4637,0.0733,0.4743,-0.353,-0.0506,0.3629,0.1975,0.0632,0.5648,0.1163,0.052,-20.9916,0.1721,0.727,0
2023-KONTROLMATİK,2.8388,2.6054,1.4697,1.3494,1.11,0.1588,0.2205,0.0493,0.0151,1.048,-0.0053,-0.0014,0.2104,0.1802,0.2435,0.9499,0.0286,0.0574,-0.2408,0.2205,0.0866,0
2023-KORAY GAYRİMENKUL,16.9484,16.166,3.2133,0.642,0.6419,0.2435,0.1257,0.0004,0.0029,0.0722,0.8903,0.0036,1.7422,0.0513,0.592,1.777,0.0046,0.007,-1.2979,0.1257,0.0067,0
2023-KORTEKS MENKUL,1.7967,1.7843,1.4348,1.388,1.2725,0.0086,0.1248,0.3057,0.1076,0.6627,0.1884,0.0446,0.1883,-0.0176,0.1733,-16.2419,-0.0026,0.0446,-1.1455,0.1248,-0.0222,0
2023-KRON TEKNOLOJİ,1.0752,0.8753,0.7758,1.4792,1.4548,0.2577,0.1575,0,0,0.0221,-1.1529,-0.0123,7.1259,0.3149,0.0759,0.8624,0.0892,0.0759,-1.886,0.1575,0.2053,0
