Şirket Adı,TB / Ö,NFB / Ö,TK / Ö,FAVÖK / İDAFG,KVB / Ö,Cari Oran,Asit Test Oran,N / KVB,FAVÖK Marjı,BK / H,VÖK / H,NDK / Ö,NDK / TK,VÖK / Fgid,İTTA / TTA,İTTB / TTB,MDV / Ö,SM / Stok,H / TA,H / TV,H / Ö,H / MDV,Class
2023-BİRLİK MENSUCAT,1.4404,0.1387,2.4404,9.7471,1.1892,1.7176,-1.9295,1.0946,0.5109,0.4919,0.4266,0.1525,0.0625,0.6568,0.0000,0.0011,0.0032,0.0419,3.8268,0.1465,0.3575,111.8442,0
2023-BURÇELİK BURSA,1.0481,0.9715,2.0481,0.1615,0.7399,0.9870,0.5968,0.1035,0.0056,0.2717,0.0087,0.0069,0.0034,0.1937,0.0000,0.0002,1.2690,1.2276,2.7462,0.2376,0.4867,0.3836,0
2023-BÜLBÜLOĞLU,2.3913,2.1970,3.3913,0.3903,1.6143,1.5044,0.7591,0.1203,0.0112,0.1604,0.1011,0.0699,0.0206,0.3628,0.0017,0.0000,0.8594,0.4780,1.4902,0.2020,0.6850,0.7971,0
2023-BÜYÜK ŞEFLER,1.3673,0.6598,2.3673,5.3517,0.8563,1.5459,1.3926,0.8262,0.1665,0.3313,0.1378,0.2436,0.1029,3.0881,0.0000,0.0000,0.4757,10.6869,2.9649,0.8861,2.0975,4.4091,0
2023-CONSUS ENERJİ,1.5105,1.4247,2.5105,0.7557,0.8897,0.4727,0.3455,0.0964,0.1100,0.1869,0.0086,0.0143,0.0057,0.0529,0.1365,0.0000,2.0069,2.7140,4.2723,0.1505,0.3777,0.1882,0
2023-COSMOS YATIRIM,1.8620,1.5304,2.8620,5.4356,1.8385,1.3719,0.9397,0.1803,0.0245,0.0902,0.0477,0.0906,0.0317,10.5586,0.6326,0.0000,0.0878,3.6016,2.5908,0.9274,2.6543,30.2245,0
2023-CVK MADEN,0.1818,0.1776,1.1818,55.5340,0.0784,8.3232,7.6187,4.5832,0.5200,0.5416,0.6436,0.1434,0.1213,24.6850,0.0000,0.0033,0.4751,2.2181,2.9962,0.2262,0.2673,0.5626,0
2023-ÇALIK DENİM,3.8592,3.8079,4.8592,0.9486,2.7169,1.1438,0.6264,0.0189,0.1278,0.1186,0.2889,-0.4453,-0.0916,0.6903,0.0696,0.0961,0.7286,0.8652,1.1698,0.2840,1.3799,1.8938,0
2023-ÇELEBİ HAVA,2.1308,1.6735,3.1308,11.5760,1.0263,1.0393,1.0076,0.4455,0.2414,0.3041,0.2436,0.1769,0.0565,8.1695,0.0379,0.0528,0.4939,23.6406,3.5953,0.3524,1.1034,2.2341,0
2023-ÇELİK HALAT,60.7043,56.1984,61.7043,1.1948,58.4994,0.8588,0.5256,0.0770,0.0551,0.1335,0.0008,0.6665,0.0108,0.0143,0.0000,0.0000,8.5688,1.7926,2.1395,0.6535,40.3219,4.7057,0
