Şirket Adı,TB / Ö,NFB / Ö,TK / Ö,FAVÖK / İDAFG,KVB / Ö,Cari Oran,Asit Test Oran,N / KVB,FAVÖK Marjı,BK / H,VÖK / H,NDK / Ö,NDK / TK,VÖK / Fgid,İTTA / TTA,İTTB / TTB,MDV / Ö,SM / Stok,H / TA,H / TV,H / Ö,H / MDV,Class
2022 VESTEL ELEKTRONİK,3.4737,3.3639,4.4737,0.7337,3.2898,0.6758,0.3391,0.0334,0.0234,0.2807,0.0524,0.1179,0.0264,0.3039,0.0014,0.0003,0.7135,1.2602,2.7273,0.4338,1.9407,2.7201,0
2022 YATAŞ YATAK,1.6891,1.5395,2.6891,5.9510,1.4029,1.3404,0.6684,0.1066,0.1238,0.3244,0.0998,0.1747,0.0650,3.5924,0.0000,0.0049,0.6335,1.6151,6.4827,0.8382,2.2539,3.5578,0
2022 YEO TEKNOLOJİ,2.8268,1.9643,3.8268,8.7462,2.5251,1.3546,1.3216,0.3415,0.1784,0.1971,0.1181,0.1990,0.0520,1.9582,0.0833,0.0028,0.3472,19.6728,4.7722,0.5347,2.0460,5.8930,0
2022 DÖKTAŞ DÖKÜM,3.3324,3.2249,4.3324,1.4723,2.1198,0.7983,0.4008,0.0507,0.0491,0.1071,0.0053,0.0999,0.0231,0.0976,0.0000,0.2467,2.3534,2.4299,4.5739,0.5292,2.2927,0.9742,0
2022 DYO BOYA,3.5040,3.0720,4.5040,4.6126,3.2192,1.0351,0.7572,0.1342,0.1648,0.3040,0.1241,0.2578,0.0572,2.3095,0.0281,0.2175,1.1287,1.9011,1.3005,0.5426,2.4437,2.1650,0
2022 E-DATA,0.5730,0.4517,1.5730,130.9846,0.5532,2.6125,2.0075,0.2193,0.2403,0.1805,0.2995,0.2173,0.1382,9.0065,0.0001,0.0000,0.1088,2.0260,2.0562,0.5260,0.8275,7.6043,0
2022 EGE ENDÜSTRİ,0.5013,0.4273,1.5013,19.8205,0.4191,2.4398,1.5794,0.1765,0.5505,0.4290,0.5594,0.3501,0.2332,12.2511,0.1713,0.0045,0.0791,1.1090,1.7229,0.4665,0.7004,8.8536,0
2022 ERBOSAN ERCİYES,0.7183,0.4497,1.7183,84.2690,0.6997,2.1583,1.1649,0.3839,0.2892,0.3101,0.2515,0.2900,0.1688,2.6056,0.0017,0.0000,0.1952,1.3933,3.2823,0.8170,1.4038,7.1911,0
2022 ERCİYAS ÇELİK,1.4268,1.3459,2.9598,7.5908,1.4268,1.1295,0.8950,0.0567,0.2241,0.1571,0.0625,0.0307,0.0104,0.2699,0.1266,0.0083,1.1789,2.4950,2.9366,0.3345,0.9901,0.8398,0
2022 EREĞLİ DEMİR,0.5686,0.4500,1.5686,1118.1113,0.3397,2.3486,0.9133,0.3491,0.2963,0.3127,0.2922,0.1260,0.0803,15.2774,0.0282,0.0216,0.6451,0.8887,4.0987,0.4019,0.6304,0.9771,0
2022 ESCAR FİLO,2.1478,1.6566,3.1478,3.7612,0.9141,1.8324,1.3936,0.5374,1.0891,0.7377,0.7780,0.2723,0.0865,2.0343,0.0000,0.0000,1.4568,0.2644,9.5704,0.1284,0.4043,0.2775,0
2022 ETİLER GIDA,0.6805,0.3972,1.6805,105.5703,0.4647,2.8401,2.7060,0.6097,0.2438,0.2993,0.2377,0.2240,0.1333,6.2448,0.0000,0.0000,0.2766,10.0717,1.3427,0.5333,0.8962,3.2399,0
2023 YATAŞ YATAK,2.3861,2.2015,3.3861,158.7710,2.0668,1.2423,0.7613,0.0893,0.1280,0.3283,0.0849,0.1849,0.0546,1.7410,0.0000,0.0000,0.6647,1.8506,4.2988,0.8090,2.7395,4.1214,0
2023 ZEDUR ENERJİ,0.6650,0.6550,1.6650,2.2244,0.1154,0.6589,0.5965,0.0866,0.2799,0.3054,-0.1521,0.0108,0.0065,-0.3495,0.2392,0.0000,1.4271,6.3367,1.4535,0.0394,0.0657,0.0460,0
